Date,Total Kasus,Meninggal,Sembuh,Aktif,Kasus Baru
12 Des 2020,611631,18653,501376,91602,6388
13 Des 2020,617820,18819,505836,93165,6189
14 Des 2020,623309,18956,510957,93396,5489
15 Des 2020,629429,19111,516656,93662,6120
16 Des 2020,636154,19248,521984,94922,6725
17 Des 2020,643508,19390,526979,97139,7354
18 Des 2020,650197,19514,531995,98688,6689
19 Des 2020,657948,19659,536260,102029,7751
20 Des 2020,664930,19880,541811,103239,6982
21 Des 2020,671778,20085,546884,104809,6848
22 Des 2020,678125,20257,552722,105146,6347
23 Des 2020,685639,20408,558703,106528,7514
24 Des 2020,692838,20589,563980,108269,7199
25 Des 2020,700097,20847,570304,108946,7259
26 Des 2020,706837,20994,576693,109150,6740
27 Des 2020,713365,21237,583676,108452,6528
28 Des 2020,719219,21452,589978,107789,5854
29 Des 2020,727122,21703,596783,108636,7903
30 Des 2020,735124,21944,603741,109439,8002
31 Des 2020,743198,22138,611097,109963,8074
1 Jan 2021,751270,22329,617936,111005,8072
2 Jan 2021,758473,22555,625518,110400,7203
3 Jan 2021,765350,22734,631937,110679,6877
4 Jan 2021,772103,22911,639103,110089,6753
5 Jan 2021,779548,23109,645746,110693,7445
6 Jan 2021,788402,23296,652513,112593,8854
7 Jan 2021,797723,23520,659437,114766,9321
8 Jan 2021,808340,23753,666883,117704,10617
9 Jan 2021,818386,23947,673511,120928,10046
10 Jan 2021,828026,24129,681024,122873,9640
11 Jan 2021,836718,24343,688739,123636,8692
12 Jan 2021,846765,24645,695807,126313,10047
13 Jan 2021,858043,24951,703464,129628,11278
14 Jan 2021,869600,25246,711205,133149,11557
15 Jan 2021,882418,25484,718696,138238,12818
16 Jan 2021,896642,25767,727358,143517,14224
17 Jan 2021,907929,25987,736460,145482,11287
18 Jan 2021,917015,26282,745935,144798,9086
19 Jan 2021,927380,26590,753948,146842,10365
20 Jan 2021,939948,26857,763703,149388,12568
21 Jan 2021,951651,27203,772790,151658,11703
22 Jan 2021,965283,27453,781147,156683,13632
23 Jan 2021,977474,27664,791059,158751,12191
24 Jan 2021,989262,27835,798810,162617,11788
25 Jan 2021,999256,28132,809488,161636,9994
26 Jan 2021,1012350,28468,820356,163526,13094
27 Jan 2021,1024298,28855,831330,164113,11948
28 Jan 2021,1037993,29331,842122,166540,13695
29 Jan 2021,1051795,29518,852260,170017,13802
30 Jan 2021,1066313,29728,862502,174083,14518
31 Jan 2021,1078314,29998,873221,175095,12001
1 Feb 2021,1089308,30277,883682,175349,10994
2 Feb 2021,1099687,30581,896530,172576,10379
3 Feb 2021,1111671,30770,905665,175236,11984
4 Feb 2021,1123105,31001,917306,174798,11434
