Nama Kecamatan,Total Terkonfirmasi,Total Dalam Perawatan,Total Sembuh,Total Meninggal
CIKEDUNG,25,1,24,0
TRISI,20,0,20,0
LELEA,55,2,52,1
BANGODUA,19,8,11,0
TUKDANA,90,16,71,3
WIDASARI,80,16,64,0
KERTASEMAYA,69,12,55,2
SUKAGUMIWANG,65,18,47,0
KRANGKENG,63,15,46,2
KARANGAMPEL,159,22,133,4
KEDOKAN BUNDER,34,0,32,2
JUNTINYUAT,154,41,111,2
SLIYEG,93,24,68,1
JATIBARANG,228,32,194,2
BALONGAN,111,14,97,0
INDRAMAYU,838,93,741,4
SINDANG,261,55,204,2
CANTIGI,37,7,30,0
PASEKAN,26,3,23,0
LOHBENER,132,20,111,1
ARAHAN,43,7,33,3
LOSARANG,64,6,58,0
KANDANGHAUR,173,22,150,1
BONGAS,77,6,69,2
ANJATAN,114,21,89,4
SUKRA,36,4,32,0
PATROL,65,8,56,1
SAGALAHERANG,21,3,18,0
SERANGPANJANG,8,0,8,0
JALANCAGAK,37,0,37,0
CIATER,42,3,39,0
CISALAK,35,2,32,1
KASOMALANG,42,0,41,1
TANJUNGSIANG,34,2,32,0
CIJAMBE,42,0,42,0
CIBOGO,68,3,65,0
SUBANG,373,21,349,3
KALIJATI,54,4,50,0
DAWUAN,54,4,50,0
CIPEUNDEUY,57,2,54,1
PABUARAN,26,2,24,0
PATOKBEUSI,70,8,61,1
PURWADADI,24,0,24,0
CIKAUM,16,0,15,1
PAGADEN,76,1,75,0
PAGADEN BARAT,44,2,42,0
CIPUNAGARA,27,0,27,0
COMPRENG,37,2,35,0
BINONG,46,2,44,0
TAMBAKDAHAN,19,1,17,1
CIASEM,99,0,98,1
PAMANUKAN,45,2,43,0
SUKASARI,19,0,19,0
PUSAKANAGARA,35,2,31,2
PUSAKAJAYA,33,2,31,0
LEGONKULON,24,0,24,0
BLANAKAN,18,2,16,0
JATILUHUR,260,62,193,5
SUKASARI,3,2,0,1
MANIIS,8,1,7,0
TEGALWARU,33,5,28,0
PLERED,105,17,84,4
SUKATANI,110,14,94,2
DARANGDAN,104,18,83,3
BOJONG,48,11,37,0
WANAYASA,58,8,47,3
KIARAPEDES,18,3,14,1
PASAWAHAN,127,23,101,3
PONDOKSALAM,50,8,41,1
PURWAKARTA,1.312,186,1.100,26
BABAKANCIKAO,280,59,217,4
CAMPAKA,87,17,70,0
CIBATU,33,1,32,0
BUNGURSARI,338,83,254,1
PANGKALAN,34,2,32,0
TEGALWARU,79,10,67,2
CIAMPEL,167,21,144,2
TELUKJAMBE TIMUR,1.999,239,1.731,29
TELUKJAMBE BARAT,202,16,183,3
KLARI,1.124,133,968,23
CIKAMPEK,604,46,541,17
PURWASARI,431,53,372,6
TIRTAMULYA,64,15,46,3
JATISARI,254,20,225,9
BANYUSARI,101,19,76,6
KOTA BARU,758,64,681,13
CILAMAYA WETAN,191,12,176,3
CILAMAYA KULON,58,8,48,2
LEMAHABANG,133,22,108,3
TELAGASARI,240,29,192,19
MAJALAYA,581,68,505,8
KARAWANG TIMUR,1.277,158,1.103,16
